Geographic Area,Geographic Area,State,2019,2019
United States,United States,,"328,239,523",328239523
".Autauga County, Alabama","Autauga County, Alabama",Alabama,"55,869",55869
".Baldwin County, Alabama","Baldwin County, Alabama",Alabama,"223,234",223234
".Barbour County, Alabama","Barbour County, Alabama",Alabama,"24,686",24686
".Bibb County, Alabama","Bibb County, Alabama",Alabama,"22,394",22394
".Blount County, Alabama","Blount County, Alabama",Alabama,"57,826",57826
".Bullock County, Alabama","Bullock County, Alabama",Alabama,"10,101",10101
".Butler County, Alabama","Butler County, Alabama",Alabama,"19,448",19448
".Calhoun County, Alabama","Calhoun County, Alabama",Alabama,"113,605",113605
".Chambers County, Alabama","Chambers County, Alabama",Alabama,"33,254",33254
".Cherokee County, Alabama","Cherokee County, Alabama",Alabama,"26,196",26196
".Chilton County, Alabama","Chilton County, Alabama",Alabama,"44,428",44428
".Choctaw County, Alabama","Choctaw County, Alabama",Alabama,"12,589",12589
".Clarke County, Alabama","Clarke County, Alabama",Alabama,"23,622",23622
".Clay County, Alabama","Clay County, Alabama",Alabama,"13,235",13235
".Cleburne County, Alabama","Cleburne County, Alabama",Alabama,"14,910",14910
".Coffee County, Alabama","Coffee County, Alabama",Alabama,"52,342",52342
".Colbert County, Alabama","Colbert County, Alabama",Alabama,"55,241",55241
".Conecuh County, Alabama","Conecuh County, Alabama",Alabama,"12,067",12067
".Coosa County, Alabama","Coosa County, Alabama",Alabama,"10,663",10663
".Covington County, Alabama","Covington County, Alabama",Alabama,"37,049",37049
".Crenshaw County, Alabama","Crenshaw County, Alabama",Alabama,"13,772",13772
".Cullman County, Alabama","Cullman County, Alabama",Alabama,"83,768",83768
".Dale County, Alabama","Dale County, Alabama",Alabama,"49,172",49172
".Dallas County, Alabama","Dallas County, Alabama",Alabama,"37,196",37196
".DeKalb County, Alabama","DeKalb County, Alabama",Alabama,"71,513",71513
".Elmore County, Alabama","Elmore County, Alabama",Alabama,"81,209",81209
".Escambia County, Alabama","Escambia County, Alabama",Alabama,"36,633",36633
".Etowah County, Alabama","Etowah County, Alabama",Alabama,"102,268",102268
".Fayette County, Alabama","Fayette County, Alabama",Alabama,"16,302",16302
".Franklin County, Alabama","Franklin County, Alabama",Alabama,"31,362",31362
".Geneva County, Alabama","Geneva County, Alabama",Alabama,"26,271",26271
".Greene County, Alabama","Greene County, Alabama",Alabama,"8,111",8111
".Hale County, Alabama","Hale County, Alabama",Alabama,"14,651",14651
".Henry County, Alabama","Henry County, Alabama",Alabama,"17,205",17205
".Houston County, Alabama","Houston County, Alabama",Alabama,"105,882",105882
".Jackson County, Alabama","Jackson County, Alabama",Alabama,"51,626",51626
".Jefferson County, Alabama","Jefferson County, Alabama",Alabama,"658,573",658573
".Lamar County, Alabama","Lamar County, Alabama",Alabama,"13,805",13805
".Lauderdale County, Alabama","Lauderdale County, Alabama",Alabama,"92,729",92729
".Lawrence County, Alabama","Lawrence County, Alabama",Alabama,"32,924",32924
".Lee County, Alabama","Lee County, Alabama",Alabama,"164,542",164542
".Limestone County, Alabama","Limestone County, Alabama",Alabama,"98,915",98915
".Lowndes County, Alabama","Lowndes County, Alabama",Alabama,"9,726",9726
".Macon County, Alabama","Macon County, Alabama",Alabama,"18,068",18068
".Madison County, Alabama","Madison County, Alabama",Alabama,"372,909",372909
".Marengo County, Alabama","Marengo County, Alabama",Alabama,"18,863",18863
".Marion County, Alabama","Marion County, Alabama",Alabama,"29,709",29709
".Marshall County, Alabama","Marshall County, Alabama",Alabama,"96,774",96774
".Mobile County, Alabama","Mobile County, Alabama",Alabama,"413,210",413210
".Monroe County, Alabama","Monroe County, Alabama",Alabama,"20,733",20733
".Montgomery County, Alabama","Montgomery County, Alabama",Alabama,"226,486",226486
".Morgan County, Alabama","Morgan County, Alabama",Alabama,"119,679",119679
".Perry County, Alabama","Perry County, Alabama",Alabama,"8,923",8923
".Pickens County, Alabama","Pickens County, Alabama",Alabama,"19,930",19930
".Pike County, Alabama","Pike County, Alabama",Alabama,"33,114",33114
".Randolph County, Alabama","Randolph County, Alabama",Alabama,"22,722",22722
".Russell County, Alabama","Russell County, Alabama",Alabama,"57,961",57961
".St. Clair County, Alabama","St. Clair County, Alabama",Alabama,"89,512",89512
".Shelby County, Alabama","Shelby County, Alabama",Alabama,"217,702",217702
".Sumter County, Alabama","Sumter County, Alabama",Alabama,"12,427",12427
".Talladega County, Alabama","Talladega County, Alabama",Alabama,"79,978",79978
".Tallapoosa County, Alabama","Tallapoosa County, Alabama",Alabama,"40,367",40367
".Tuscaloosa County, Alabama","Tuscaloosa County, Alabama",Alabama,"209,355",209355
".Walker County, Alabama","Walker County, Alabama",Alabama,"63,521",63521
".Washington County, Alabama","Washington County, Alabama",Alabama,"16,326",16326
".Wilcox County, Alabama","Wilcox County, Alabama",Alabama,"10,373",10373
".Winston County, Alabama","Winston County, Alabama",Alabama,"23,629",23629
".Aleutians East Borough, Alaska","Aleutians East Borough, Alaska",Alaska,"3,337",3337
".Aleutians West Census Area, Alaska","Aleutians West Census Area, Alaska",Alaska,"5,634",5634
".Anchorage Municipality, Alaska","Anchorage Municipality, Alaska",Alaska,"288,000",288000
".Bethel Census Area, Alaska","Bethel Census Area, Alaska",Alaska,"18,386",18386
".Bristol Bay Borough, Alaska","Bristol Bay Borough, Alaska",Alaska,836,836
".Denali Borough, Alaska","Denali Borough, Alaska",Alaska,"2,097",2097
".Dillingham Census Area, Alaska","Dillingham Census Area, Alaska",Alaska,"4,916",4916
".Fairbanks North Star Borough, Alaska","Fairbanks North Star Borough, Alaska",Alaska,"96,849",96849
".Haines Borough, Alaska","Haines Borough, Alaska",Alaska,"2,530",2530
".Hoonah-Angoon Census Area, Alaska","Hoonah-Angoon Census Area, Alaska",Alaska,"2,148",2148
".Juneau City and Borough, Alaska","Juneau City and Borough, Alaska",Alaska,"31,974",31974
".Kenai Peninsula Borough, Alaska","Kenai Peninsula Borough, Alaska",Alaska,"58,708",58708
".Ketchikan Gateway Borough, Alaska","Ketchikan Gateway Borough, Alaska",Alaska,"13,901",13901
".Kodiak Island Borough, Alaska","Kodiak Island Borough, Alaska",Alaska,"12,998",12998
".Kusilvak Census Area, Alaska","Kusilvak Census Area, Alaska",Alaska,"8,314",8314
".Lake and Peninsula Borough, Alaska","Lake and Peninsula Borough, Alaska",Alaska,"1,592",1592
".Matanuska-Susitna Borough, Alaska","Matanuska-Susitna Borough, Alaska",Alaska,"108,317",108317
".Nome Census Area, Alaska","Nome Census Area, Alaska",Alaska,"10,004",10004
".North Slope Borough, Alaska","North Slope Borough, Alaska",Alaska,"9,832",9832
".Northwest Arctic Borough, Alaska","Northwest Arctic Borough, Alaska",Alaska,"7,621",7621
".Petersburg Borough, Alaska","Petersburg Borough, Alaska",Alaska,"3,266",3266
".Prince of Wales-Hyder Census Area, Alaska","Prince of Wales-Hyder Census Area, Alaska",Alaska,"6,203",6203
".Sitka City and Borough, Alaska","Sitka City and Borough, Alaska",Alaska,"8,493",8493
".Skagway Municipality, Alaska","Skagway Municipality, Alaska",Alaska,"1,183",1183
".Southeast Fairbanks Census Area, Alaska","Southeast Fairbanks Census Area, Alaska",Alaska,"6,893",6893
".Valdez-Cordova Census Area, Alaska","Valdez-Cordova Census Area, Alaska",Alaska,"9,202",9202
".Wrangell City and Borough, Alaska","Wrangell City and Borough, Alaska",Alaska,"2,502",2502
".Yakutat City and Borough, Alaska","Yakutat City and Borough, Alaska",Alaska,579,579
".Yukon-Koyukuk Census Area, Alaska","Yukon-Koyukuk Census Area, Alaska",Alaska,"5,230",5230
".Apache County, Arizona","Apache County, Arizona",Arizona,"71,887",71887
".Cochise County, Arizona","Cochise County, Arizona",Arizona,"125,922",125922
".Coconino County, Arizona","Coconino County, Arizona",Arizona,"143,476",143476
".Gila County, Arizona","Gila County, Arizona",Arizona,"54,018",54018
".Graham County, Arizona","Graham County, Arizona",Arizona,"38,837",38837
".Greenlee County, Arizona","Greenlee County, Arizona",Arizona,"9,498",9498
".La Paz County, Arizona","La Paz County, Arizona",Arizona,"21,108",21108
".Maricopa County, Arizona","Maricopa County, Arizona",Arizona,"4,485,414",4485414
".Mohave County, Arizona","Mohave County, Arizona",Arizona,"212,181",212181
".Navajo County, Arizona","Navajo County, Arizona",Arizona,"110,924",110924
