,Unnamed: 0,iso2,iso3,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20
0,5,US,USA,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,6,6,6,6,7,8,10,12,12,12,12,12,12,15,17,19,19,19,23,24,26,26,25,26,28,30,32,33,36,36,37,39,40,43,44,42,45,48,53,53,58,61,67,68,74,84,91,93,104,103,110,110,120,127,136,143,149,155,159,168,189,192,205,212,216,221,233,239,239,241,248,259,265,272,282,295,312,323,331,357
1,6,US,USA,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,4,4,5,5,10,15,18,19,20,24,28,29,29,38,42,44,56,59,66,71,72,87,91,101,103,109,112,117,123,132,143,147,147,161,168,171,174,174,175,181,187,188,189,196,205,208,216,222,224,227,231,243,244,254,254,260,262,270,269,271,273,274,274,277,282,281,282,283,290,292,292,292,293,296,304,313,320,325,331,343,353,361,364
2,7,US,USA,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,4,9,9,10,10,11,12,14,15,18,20,22,28,29,30,32,32,33,35,37,37,39,42,43,45,45,47,47,51,53,58,59,61,67,69,74,79,79,81,85,90,96,99,104,105,110,113,122,130,132,147,150,167,172,175,177,177,183,190,193,197,199,208,214,221,226,234
3,8,US,USA,Bibb,Alabama,US,32.99642064,-87.12511459999996,"Bibb, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,4,5,7,8,9,9,11,13,16,17,17,18,22,24,26,28,32,32,34,33,34,34,38,42,42,42,42,42,42,43,42,43,43,44,44,45,46,46,46,46,46,49,50,50,50,51,52,52,55,58,59,59,66,71,71,71,72,75,76,76,76,76,76,77,77,79,85,89,93,97,100,104
4,9,US,USA,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,5,5,5,5,6,9,10,10,10,10,10,11,12,12,13,14,16,17,18,20,20,21,22,26,29,31,31,31,34,34,34,36,37,39,40,40,40,40,42,44,44,44,44,45,45,45,45,45,45,46,47,47,47,47,49,49,49,49,51,53,58,60,61,62,63,63,63,63,64,70,72,73,75,79,87,95,102,110
5,10,US,USA,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,4,5,8,8,8,8,9,9,11,11,11,12,12,12,12,12,12,12,13,14,14,14,16,18,18,18,21,22,23,26,26,28,28,32,35,35,40,52,64,65,89,105,111,133,167,176,183,201,203,209,209,213,215,217,219,225,232,238,243,248,253,258,276,302
6,11,US,USA,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,6,7,8,8,9,11,16,13,14,14,15,17,19,21,21,32,34,45,50,53,65,92,105,114,120,130,155,162,178,189,196,224,230,249,258,271,272,285,295,312,318,329,335,344,359,380,391,392,396,402,411,414,416,419,421,431,442,449,455,464,471,484,499,517,536
7,12,US,USA,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,8,9,11,12,18,21,23,34,41,49,53,54,57,59,61,62,62,62,63,66,71,80,83,85,88,89,89,91,90,92,93,94,93,98,105,105,114,114,120,123,124,124,125,126,127,128,129,130,130,133,133,136,136,137,138,141,146,150,152,152,153,154,160,164,165,165,167,169,174,176,178,180,182,184,188,190,195
8,13,US,USA,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,5,10,13,13,17,27,33,36,42,67,80,87,89,94,101,109,151,168,181,198,212,216,221,231,236,240,245,257,259,270,275,282,282,285,289,291,293,295,290,294,300,302,304,306,308,311,314,316,319,324,324,326,326,328,328,329,329,331,332,330,330,336,337,338,340,349,352,353,355,358,358,359,360,363,373,378,383,391,401,417,427,438,453
9,14,US,USA,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,4,5,6,6,6,6,7,7,7,7,8,9,9,9,11,12,12,12,12,13,13,12,12,12,14,14,15,15,15,15,15,16,16,17,18,18,21,22,22,24,24,24,25,26,27,27,28,29,30,31,33,33,33,33,33,33,34,36,37,37,38,38,38,38,38,40,42,42,42,42,42,46,47,51
10,15,US,USA,Chilton,Alabama,US,32.85044126,-86.7173256,"Chilton, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,7,7,10,11,13,14,15,15,15,19,20,20,25,26,30,30,33,33,35,37,37,39,41,43,44,46,47,49,49,51,51,52,53,53,52,54,57,58,60,61,63,63,64,65,67,69,73,74,75,77,77,79,80,83,83,85,86,87,87,90,93,97,99,100,101,103,104,105,107,108,108,110,111,117,118,121,122,128,132
11,16,US,USA,Choctaw,Alabama,US,32.02227341,-88.26564429999998,"Choctaw, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,4,4,4,5,5,6,6,6,6,8,10,10,12,12,13,13,14,14,17,18,21,22,25,25,32,39,39,39,43,49,49,49,51,54,54,56,59,61,66,67,69,72,77,81,84,84,85,92,129,131,135,139,141,144,147,148,148,149,151,153,153,153,153,153,153,155,155,156,157,158,162,166,167,175
12,17,US,USA,Clarke,Alabama,US,31.68099859,-87.83548597,"Clarke, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,8,9,10,10,12,13,15,19,19,21,21,24,24,24,24,24,24,25,25,24,24,25,27,28,30,32,34,38,42,43,43,45,50,53,52,56,63,64,65,68,70,74,74,75,81,89,91,92,97,102,109,120,128,129,134,142,144,146,148,149,149,149,151,156,158,161,163,165,175,179,188
13,18,US,USA,Clay,Alabama,US,33.26984193,-85.85836077,"Clay, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,6,8,8,9,9,9,10,11,11,12,14,14,14,14,14,14,17,18,19,19,19,19,19,19,19,19,19,21,21,21,21,22,22,24,25,25,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,29,29,29,30,30,30,30,30,30
14,19,US,USA,Cleburne,Alabama,US,33.67679204,-85.52005899,"Cleburne, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,5,5,5,6,6,7,7,7,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,15,15,15,15,15,15,15,18,19,19,19,20,20,20,21
15,20,US,USA,Coffee,Alabama,US,31.39932826,-85.98901039,"Coffee, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,7,7,8,8,8,13,14,17,31,36,36,40,47,51,55,59,64,68,73,80,87,87,95,98,105,107,111,117,118,130,134,134,138,141,143,146,146,150,155,158,159,162,164,166,171,175,184,184,189,196,200,206,216,219,224,226,229,236,238,238,239,239,240,244,246,248,249,250,260,265,274,282
16,21,US,USA,Colbert,Alabama,US,34.69847452,-87.80168544,"Colbert, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,4,4,5,5,5,6,6,7,7,7,8,8,9,10,11,11,12,13,15,16,16,16,20,22,23,23,23,23,27,27,29,33,37,41,41,42,44,51,63,64,66,70,72,74,79,83,87,91,93,98,110,111,117,125,136,142,155,161,161,165,178,184,186,187,187,190,197,206,209,212,216,219,230,241,249,253
17,22,US,USA,Conecuh,Alabama,US,31.43401703,-86.99320044,"Conecuh, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,4,4,3,3,5,5,5,5,8,8,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,13,13,14,14,16,17,18,18,18,19,21,22,22,24,25,25,28,30,35,35,38,39,41,41,41,41,41,42,44,49,52,55,64,70,76,83,93
18,23,US,USA,Coosa,Alabama,US,32.93690146,-86.24847739,"Coosa, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,4,4,5,6,6,7,8,9,9,9,10,11,18,18,18,19,20,20,22,22,23,24,24,28,29,29,29,30,31,31,31,29,30,30,30,31,31,31,31,31,31,33,33,33,34,34,34,34,34,33,33,33,33,33,33,34,34,34,35,38,38,40,40,40,40,40,40,40,40,40,40,41,43,43,45,46
19,24,US,USA,Covington,Alabama,US,31.247785399999998,-86.45050893,"Covington, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,5,9,10,10,11,13,13,16,17,18,19,21,22,24,26,27,29,31,31,33,34,35,36,36,38,43,45,45,46,46,48,50,50,53,55,56,56,56,56,57,57,58,58,59,60,63,63,65,67,71,75,77,77,77,80,81,81,81,82,83,84,88,88,89,92,98,106,116,164
20,25,US,USA,Crenshaw,Alabama,US,31.72941803,-86.31593104,"Crenshaw, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,5,5,6,6,6,6,6,8,10,10,11,12,16,17,19,19,21,23,25,26,28,31,33,38,41,43,46,48,50,53,53,53,53,53,52,52,53,58,58,60,62,66,72,73,76,75,75,78,78,78,80,83,84,88,89,96,99,105,107,110
21,26,US,USA,Cullman,Alabama,US,34.13020303,-86.86888037,"Cullman, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,6,6,7,7,8,8,9,9,15,15,15,20,21,22,22,30,31,39,39,40,40,40,53,42,42,44,45,44,44,47,47,50,52,52,55,55,57,57,58,58,58,59,61,62,63,65,65,67,67,67,68,69,69,69,70,71,72,73,74,76,78,83,88,96,114,126,143,147,150,150,152,163,180,193,199,203,212,220,239,250,264
22,27,US,USA,Dale,Alabama,US,31.43037123,-85.61095742,"Dale, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,4,4,6,6,6,8,12,12,12,14,14,17,20,21,21,22,22,23,23,25,25,25,25,27,27,28,34,34,34,34,36,40,43,43,45,52,53,53,57,60,60,61,63,71,75,77,80,83,85,92,96,99,106,110,115,122,123,123,124,125,131,131,135,138,141,149,164,171,173
23,28,US,USA,Dallas,Alabama,US,32.32688101,-87.10866709999998,"Dallas, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4,7,7,7,7,7,7,7,11,10,14,14,17,18,21,21,22,25,26,29,30,29,32,32,33,37,37,37,41,42,49,59,65,68,76,83,95,102,108,122,124,129,132,137,145,146,151,159,172,173,182,191,197,206,222,232,244,255,260,272,279,282,287,292,296,302,320,339,353,375,406,421,447,486
24,29,US,USA,DeKalb,Alabama,US,34.45946862,-85.80782906,"DeKalb, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,5,8,10,13,14,14,14,14,15,17,21,26,27,29,29,32,34,40,42,46,51,58,61,61,61,70,74,76,77,77,76,77,79,90,99,109,124,136,142,147,158,167,179,185,190,192,192,196,195,206,207,209,214,221,226,234,240,241,243,243,248,249,256,257,257,260,268,269,272,276,278,291,303,311,318
25,30,US,USA,Elmore,Alabama,US,32.59785413,-86.14415284,"Elmore, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,5,5,6,6,6,8,9,10,12,12,13,13,13,14,17,19,19,19,19,22,22,27,29,30,33,35,43,47,54,54,58,63,69,73,74,74,74,74,79,79,82,84,86,88,93,103,111,121,121,127,130,135,150,152,156,157,169,178,188,192,197,207,226,234,242,254,263,270,292,300,313,323,339,354,362,373,372,374,381,401,411,427,437,447,471,485,502,528
26,31,US,USA,Escambia,Alabama,US,31.1256789,-87.15918694,"Escambia, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,3,5,5,9,8,8,10,9,11,14,12,14,16,17,18,21,22,22,25,26,27,27,28,29,30,31,32,31,30,33,35,36,36,37,38,38,39,39,39,39,39,39,39,39,39,40,43,43,45,48,49,57,57,63,72,74,75,75,79,82,85,88,88,91,93,99,99,102
27,32,US,USA,Etowah,Alabama,US,34.04567266,-86.04051873,"Etowah, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,6,6,8,10,13,19,26,35,41,43,43,49,63,74,75,77,78,78,86,87,93,98,100,109,116,120,121,121,125,126,130,139,139,139,141,143,146,152,158,161,166,170,182,193,196,197,198,199,202,204,206,215,223,226,225,228,236,238,240,240,244,247,248,257,260,261,262,263,265,270,273,276,277,280,287,298,301,323
28,33,US,USA,Fayette,Alabama,US,33.72076938,-87.73886638,"Fayette, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,9,9,10,9,9,9,9,9,9,10,11,11,11,11,13,13,13,13,15,16,16,16,16,16,16,17,18,19,21,23,23,26,37,43
29,34,US,USA,Franklin,Alabama,US,34.44235334,-87.84289505,"Franklin, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,4,5,6,6,6,7,7,8,8,8,10,10,12,14,17,18,17,17,18,18,22,25,32,32,41,43,44,45,58,78,100,132,136,152,164,184,202,216,226,247,264,270,288,309,329,334,344,364,399,409,422,434,447,467,486,498,514,540,545,556,562,576,578,585,593,608,617,625,631,634,652,665,709,723
30,35,US,USA,Geneva,Alabama,US,31.09389027,-85.83572839,"Geneva, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,2,2,4,4,4,4,5,6,6,6,8,8,8,9,9,9,10,10,11,11,11,11,12,13,13,15,16,17,18,19,20,20,22,23,26,27,28,31,33,35,40,40,40,39,40,43,43,43,44,44,45,46,46,46,46,46,46,46,46,46
31,36,US,USA,Greene,Alabama,US,32.85504247,-87.95684022,"Greene, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,4,4,5,5,6,8,10,10,12,13,14,17,18,18,18,20,24,29,29,32,32,40,41,44,44,46,46,47,50,55,54,55,58,61,61,64,67,70,70,70,73,73,74,76,79,81,81,87,87,86,87,88,90,89,91,91,91,92,93,94,94,95,95,95,95,95,98,98,99,102,107,112,117,119,123
