,Unnamed: 0,iso2,iso3,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20
308,313,US,USA,Fairfield,Connecticut,US,41.26809896,-73.3881171,"Fairfield, Connecticut, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,15,15,29,48,69,102,122,122,208,270,384,546,607,752,908,1245,1445,1870,1986,2132,2716,2824,3050,3719,4136,4136,4882,5180,5407,5534,6004,6213,6480,6816,7146,7363,7434,8320,8472,9883,10008,10227,10373,10529,10763,10874,10985,11294,11612,11801,11801,12245,12360,12455,12679,12879,13030,13236,13312,13488,13636,13836,14009,14140,14248,14439,14522,14719,14751,14889,14989,15114,15213,15355,15314,15353,15409,15502,15549,15709,15776,15789,15843,15914,16020,16056,16092,16108,16134,16155,16178,16277,16306
309,314,US,USA,Hartford,Connecticut,US,41.80283011,-72.73103891,"Hartford, Connecticut, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,11,18,29,29,54,61,88,116,138,189,228,276,330,393,469,539,679,726,751,882,1045,1045,1471,1615,1832,1914,2243,2370,2570,2859,3015,3196,3351,3823,3951,4128,4303,4570,4761,4989,5157,5224,5388,5601,5931,6112,6112,6173,6351,6530,6750,6904,7105,7263,7358,7528,7732,7935,8126,8299,8723,8957,9050,9234,9299,9463,9545,9686,9841,9917,9962,10078,10146,10207,10296,10448,10536,10593,10636,10677,10747,10809,10844,10859,10924,10967,11103,11189,11218
310,315,US,USA,Litchfield,Connecticut,US,41.7937534,-73.2451475,"Litchfield, Connecticut, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,4,5,5,7,8,8,12,13,22,33,44,52,65,87,113,121,131,141,173,182,197,230,255,255,315,346,388,403,446,460,490,535,569,593,600,639,643,722,751,808,834,864,892,900,919,963,1014,1036,1036,1047,1065,1085,1114,1130,1142,1153,1161,1171,1179,1203,1218,1234,1269,1280,1290,1299,1303,1298,1304,1331,1346,1360,1360,1366,1375,1381,1397,1400,1402,1404,1406,1409,1413,1419,1426,1432,1430,1435,1435,1439,1442
311,316,US,USA,Middlesex,Connecticut,US,41.45949668,-72.53714864,"Middlesex, Connecticut, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,6,8,8,15,18,25,28,38,50,56,66,74,91,100,110,135,150,150,205,240,290,299,339,355,379,394,422,448,462,484,512,525,545,561,576,588,609,618,631,657,687,707,707,713,734,742,764,775,789,798,801,823,837,863,885,898,909,936,947,965,972,992,999,1010,1012,1026,1061,1082,1090,1104,1104,1143,1154,1161,1171,1170,1174,1185,1187,1194,1199,1210,1216,1223,1229
312,317,US,USA,New Haven,Connecticut,US,41.408032500000004,-72.93620426,"New Haven, Connecticut, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,8,10,23,23,23,29,41,89,127,156,222,236,280,373,517,611,647,891,1024,1162,1468,1664,1664,2183,2383,2715,2946,3358,3543,3758,4163,4520,4743,4871,5272,5493,5811,6064,6286,6509,6715,6993,7089,7205,7536,7900,8024,8024,8110,8337,8419,8678,8887,9091,9209,9260,9430,9570,9712,9881,10075,10159,10338,10427,10587,10663,10756,10847,10905,11017,11121,11124,11198,11241,11309,11323,11479,11525,11548,11582,11673,11817,11828,11860,11875,11911,11930,11979,12021,12034
313,318,US,USA,New London,Connecticut,US,41.48896435,-72.10430976,"New London, Connecticut, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,6,9,13,15,19,20,24,27,29,29,40,57,57,65,85,85,139,156,185,190,222,227,236,255,292,315,339,356,369,397,419,448,473,498,516,530,540,564,603,623,623,641,681,704,742,755,775,782,784,793,804,821,844,860,873,876,880,896,903,910,970,1046,1043,1075,1053,1067,1068,1076,1078,1091,1094,1100,1104,1108,1112,1119,1120,1122,1130,1147,1150,1198,1236
314,319,US,USA,Tolland,Connecticut,US,41.85853803,-72.3308481,"Tolland, Connecticut, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,14,16,19,27,33,33,37,40,50,56,61,67,79,91,94,103,111,111,145,152,171,182,195,201,216,241,258,270,276,299,305,331,359,375,384,407,419,422,427,437,446,461,461,464,502,513,522,530,540,543,545,556,560,568,583,636,715,735,770,786,787,796,799,807,812,821,815,822,827,833,836,845,848,856,859,859,864,864,863,873,878,883,886,885,888
315,320,US,USA,Windham,Connecticut,US,41.82972709,-71.98182316,"Windham, Connecticut, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,3,3,3,7,10,11,19,21,27,31,32,40,43,43,52,59,66,66,83,87,89,87,92,97,100,108,112,122,129,139,151,157,164,164,165,186,200,211,211,217,223,242,250,249,266,270,271,281,287,291,301,304,313,322,326,329,336,348,354,359,365,371,371,375,380,381,384,388,393,392,397,405,416,420,428,430,437,441,453,463,465
3148,3153,US,USA,Out of CT,Connecticut,US,0.0,0.0,"Out of CT, Connecticut, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200,3205,US,USA,Unassigned,Connecticut,US,0.0,0.0,"Unassigned, Connecticut, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,176,77,185,174,218,241,222,264,292,292,392,407,456,501,491,533,537,534,495,525,529,514,503,550,522,522,522,522,484,491,507,462,371,312,312,363,368,305,285,302,246,300,273,263,250,235,238,257,210,233,218,202,194,188,215,210,224,257,228,218,226,229,234,237,251,248,241,245,255,268,272,286,304,293,289,299,270
