,Unnamed: 0,iso2,iso3,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20
1890,1895,US,USA,Alamance,North Carolina,US,36.0434701,-79.39976137,"Alamance, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,4,5,5,6,7,7,7,13,14,16,19,20,24,30,30,33,34,36,68,73,43,45,47,48,50,50,58,60,63,73,77,90,91,94,96,109,109,121,124,128,128,128,143,149,152,173,183,183,190,196,196,203,217,224,224,234,234,268,268,278,278,300,305,325,342,342,364,391,391,413,413,458,458,465,528,553,574,581,641,700,742
1891,1896,US,USA,Alexander,North Carolina,US,35.922379600000006,-81.17751948,"Alexander,North Carolina,US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,8,8,10,12,12,13,14,15,15,18,21,21,21,23,23,23,27,27,27,27,28,30,30,33,33,35,38,38,38,38,43,43,43,43,43,43,46,48,49
1892,1897,US,USA,Alleghany,North Carolina,US,36.49360862,-81.12857041,"Alleghany, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,6,6,6,6,7,7,7,7,8,8,8,10,10,10,11,11,12,12,12,12,13,13,13,13,13,14,14,14,15,16,17,18,24,24,27,28,28,29,29,30,30,30,30,30
1893,1898,US,USA,Anson,North Carolina,US,34.97403241,-80.09953279,"Anson, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,5,5,5,6,9,9,10,10,10,11,14,14,15,16,16,18,19,19,19,20,20,20,22,23,24,25,27,29,30,30,30,31,33,37,38,38,38,39,40,41,43,46,49,50,50,50,50,55,58,58,59,62,62,64,64,64,65,65,66,68,68,70,71,72,74,78,78,81,83,85,86
1894,1899,US,USA,Ashe,North Carolina,US,36.43296207,-81.49862729,"Ashe, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,7,8,13,13,14,16,17,17,26,27,28,28,28,28,32,33,35,35,35,35,35,36,36,37,37,37,37,39,39,40,40,40,40,42,42,43,43,43
1895,1900,US,USA,Avery,North Carolina,US,36.07569796,-81.92308483,"Avery, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,6,6,6,6,6
1896,1901,US,USA,Beaufort,North Carolina,US,35.48531943,-76.84325809,"Beaufort, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,4,5,7,7,8,9,9,9,10,10,11,12,13,13,14,14,14,14,14,14,14,15,15,16,16,16,31,20,20,20,22,22,22,22,22,22,22,22,22,24,24,25,25,25,27,27,27,27,30,30,30,33,33,35,35,35,35,35,36,36,36,36,36,36,36,36,39,43,43,43,43,44,44,45,49,51,51
1897,1902,US,USA,Bertie,North Carolina,US,36.0688473,-76.96545943,"Bertie, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,5,6,6,6,6,7,7,7,9,10,11,12,12,12,12,15,16,17,18,20,21,24,25,27,31,34,40,37,38,38,38,44,44,47,47,48,51,53,57,58,60,61,61,67,72,74,76,84,87,89,89,98,98,108,109,113,115,115,115,118,119,122,122,122,125,126,127,129,133,134,134,134,134,135,135,135,135
1898,1903,US,USA,Bladen,North Carolina,US,34.61296243,-78.56180059,"Bladen, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,5,6,7,10,10,13,20,21,25,27,27,29,34,40,45,50,51,52,54,60,64,66,68,70,71,73,73,81,81,91,92,94,94,94,94,94,95,100,101,105,105,106,132,143,153,162,165,165,165,173,186,188,194
1899,1904,US,USA,Brunswick,North Carolina,US,34.070565,-78.22814204,"Brunswick, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,6,8,10,10,11,11,12,12,14,16,16,23,23,24,24,26,26,26,29,30,34,34,35,35,35,36,36,36,36,36,38,38,39,39,39,40,40,43,43,43,43,44,44,47,50,50,50,50,50,50,50,51,51,51,51,55,55,58,58,62,62,68,74,74,74,76,81,83,83,83,85,95,95,110,115,131,133,142,149,160,163,183,190,206,230
1900,1905,US,USA,Buncombe,North Carolina,US,35.61113393,-82.53305,"Buncombe, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,8,12,12,15,15,17,19,20,22,22,22,31,31,31,33,33,37,37,36,37,37,37,38,39,43,47,47,47,47,48,49,49,52,52,52,54,55,60,68,69,72,73,77,78,79,88,88,92,100,102,105,108,116,138,152,168,176,176,183,183,246,251,262,276,277,279,303,310,323,335,346,354,361,374,382,389,396,399,401,408,417,426,439,449
1901,1906,US,USA,Burke,North Carolina,US,35.74989637,-81.70755735,"Burke, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,5,6,6,9,10,13,18,28,39,34,42,44,61,61,61,61,60,63,66,66,68,70,75,83,83,83,86,88,88,89,97,102,106,110,110,112,117,117,126,128,131,136,137,146,162,175,175,191,195,198,198,210,210,253,266,278,296,324,337,350,380,390,425,439,439,477,497,514,540,547,567,567,710,710,775,775,775
1902,1907,US,USA,Cabarrus,North Carolina,US,35.3877799,-80.55267168,"Cabarrus, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,5,6,6,10,12,18,22,31,32,38,47,47,50,58,65,69,76,81,88,88,94,107,117,165,190,204,204,207,207,208,212,223,232,236,249,249,261,264,275,275,303,308,310,313,317,320,326,333,338,341,352,352,356,361,371,371,372,380,385,385,400,400,423,428,438,449,456,457,457,473,478,500,508,508,511,530,546,571,588,599,617,617,662,685,686,711
1903,1908,US,USA,Caldwell,North Carolina,US,35.95204977,-81.54799522,"Caldwell, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,5,11,11,11,11,12,14,17,17,19,19,19,19,22,22,23,23,23,23,26,27,30,30,31,33,33,34,34,34,36,38,45,45,50,52,59,60,60,64,69,75,75,78,83,86,86,92,92,104,105,106,107,107,114,120,127,132,138,155,157,161,173,183,196,201,204,209,219,228,238,240,248
1904,1909,US,USA,Camden,North Carolina,US,36.33804939,-76.15568396,"Camden, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6
1905,1910,US,USA,Carteret,North Carolina,US,34.8932941,-76.54120135,"Carteret, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,7,7,11,12,14,14,16,16,16,25,25,19,20,20,21,21,22,22,22,22,22,24,24,24,24,27,27,27,27,27,28,28,28,28,29,29,29,29,29,29,29,29,32,32,32,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,39,39,39,39,40,40,42,43,45,46,46
1906,1911,US,USA,Caswell,North Carolina,US,36.39312665,-79.33353281,"Caswell, North Carolina, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,7,7,7,8,8,12,13,14,15,16,18,18,19,22,24,30,32,32,34,36,38,38,38,39,41,42,42,42,43,43,43,44,44,45,45,51,52,54,55,55,55,57,58,60,61,87,93,94,94,94,96,96,97,97,98,101,101,101,102
