SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019
40,3,6,01,000,Alabama,Alabama,4779736,4903185
50,3,6,01,001,Alabama,Autauga County,54571,55869
50,3,6,01,003,Alabama,Baldwin County,182265,223234
50,3,6,01,005,Alabama,Barbour County,27457,24686
50,3,6,01,007,Alabama,Bibb County,22915,22394
50,3,6,01,009,Alabama,Blount County,57322,57826
50,3,6,01,011,Alabama,Bullock County,10914,10101
50,3,6,01,013,Alabama,Butler County,20947,19448
50,3,6,01,015,Alabama,Calhoun County,118572,113605
50,3,6,01,017,Alabama,Chambers County,34215,33254
50,3,6,01,019,Alabama,Cherokee County,25989,26196
50,3,6,01,021,Alabama,Chilton County,43643,44428
50,3,6,01,023,Alabama,Choctaw County,13859,12589
50,3,6,01,025,Alabama,Clarke County,25833,23622
50,3,6,01,027,Alabama,Clay County,13932,13235
50,3,6,01,029,Alabama,Cleburne County,14972,14910
50,3,6,01,031,Alabama,Coffee County,49948,52342
50,3,6,01,033,Alabama,Colbert County,54428,55241
50,3,6,01,035,Alabama,Conecuh County,13228,12067
50,3,6,01,037,Alabama,Coosa County,11539,10663
50,3,6,01,039,Alabama,Covington County,37765,37049
50,3,6,01,041,Alabama,Crenshaw County,13906,13772
50,3,6,01,043,Alabama,Cullman County,80406,83768
50,3,6,01,045,Alabama,Dale County,50251,49172
50,3,6,01,047,Alabama,Dallas County,43820,37196
50,3,6,01,049,Alabama,DeKalb County,71109,71513
50,3,6,01,051,Alabama,Elmore County,79303,81209
50,3,6,01,053,Alabama,Escambia County,38319,36633
50,3,6,01,055,Alabama,Etowah County,104430,102268
50,3,6,01,057,Alabama,Fayette County,17241,16302
50,3,6,01,059,Alabama,Franklin County,31704,31362
50,3,6,01,061,Alabama,Geneva County,26790,26271
50,3,6,01,063,Alabama,Greene County,9045,8111
50,3,6,01,065,Alabama,Hale County,15760,14651
50,3,6,01,067,Alabama,Henry County,17302,17205
50,3,6,01,069,Alabama,Houston County,101547,105882
50,3,6,01,071,Alabama,Jackson County,53227,51626
50,3,6,01,073,Alabama,Jefferson County,658466,658573
50,3,6,01,075,Alabama,Lamar County,14564,13805
50,3,6,01,077,Alabama,Lauderdale County,92709,92729
50,3,6,01,079,Alabama,Lawrence County,34339,32924
50,3,6,01,081,Alabama,Lee County,140247,164542
50,3,6,01,083,Alabama,Limestone County,82782,98915
50,3,6,01,085,Alabama,Lowndes County,11299,9726
50,3,6,01,087,Alabama,Macon County,21452,18068
50,3,6,01,089,Alabama,Madison County,334811,372909
50,3,6,01,091,Alabama,Marengo County,21027,18863
50,3,6,01,093,Alabama,Marion County,30776,29709
50,3,6,01,095,Alabama,Marshall County,93019,96774
50,3,6,01,097,Alabama,Mobile County,412992,413210
50,3,6,01,099,Alabama,Monroe County,23068,20733
50,3,6,01,101,Alabama,Montgomery County,229363,226486
50,3,6,01,103,Alabama,Morgan County,119490,119679
50,3,6,01,105,Alabama,Perry County,10591,8923
50,3,6,01,107,Alabama,Pickens County,19746,19930
50,3,6,01,109,Alabama,Pike County,32899,33114
50,3,6,01,111,Alabama,Randolph County,22913,22722
50,3,6,01,113,Alabama,Russell County,52947,57961
50,3,6,01,115,Alabama,St. Clair County,83593,89512
50,3,6,01,117,Alabama,Shelby County,195085,217702
50,3,6,01,119,Alabama,Sumter County,13763,12427
50,3,6,01,121,Alabama,Talladega County,82291,79978
50,3,6,01,123,Alabama,Tallapoosa County,41616,40367
50,3,6,01,125,Alabama,Tuscaloosa County,194656,209355
50,3,6,01,127,Alabama,Walker County,67023,63521
50,3,6,01,129,Alabama,Washington County,17581,16326
50,3,6,01,131,Alabama,Wilcox County,11670,10373
50,3,6,01,133,Alabama,Winston County,24484,23629
40,4,9,02,000,Alaska,Alaska,710231,731545
50,4,9,02,013,Alaska,Aleutians East Borough,3141,3337
50,4,9,02,016,Alaska,Aleutians West Census Area,5561,5634
50,4,9,02,020,Alaska,Anchorage Municipality,291826,288000
50,4,9,02,050,Alaska,Bethel Census Area,17013,18386
50,4,9,02,060,Alaska,Bristol Bay Borough,997,836
50,4,9,02,068,Alaska,Denali Borough,1826,2097
50,4,9,02,070,Alaska,Dillingham Census Area,4847,4916
50,4,9,02,090,Alaska,Fairbanks North Star Borough,97581,96849
50,4,9,02,100,Alaska,Haines Borough,2508,2530
50,4,9,02,105,Alaska,Hoonah-Angoon Census Area,2150,2148
50,4,9,02,110,Alaska,Juneau City and Borough,31275,31974
50,4,9,02,122,Alaska,Kenai Peninsula Borough,55400,58708
50,4,9,02,130,Alaska,Ketchikan Gateway Borough,13477,13901
50,4,9,02,150,Alaska,Kodiak Island Borough,13592,12998
50,4,9,02,158,Alaska,Kusilvak Census Area,7459,8314
50,4,9,02,164,Alaska,Lake and Peninsula Borough,1631,1592
50,4,9,02,170,Alaska,Matanuska-Susitna Borough,88995,108317
50,4,9,02,180,Alaska,Nome Census Area,9492,10004
50,4,9,02,185,Alaska,North Slope Borough,9430,9832
50,4,9,02,188,Alaska,Northwest Arctic Borough,7523,7621
50,4,9,02,195,Alaska,Petersburg Borough,3815,3266
50,4,9,02,198,Alaska,Prince of Wales-Hyder Census Area,5559,6203
50,4,9,02,220,Alaska,Sitka City and Borough,8881,8493
50,4,9,02,230,Alaska,Skagway Municipality,968,1183
50,4,9,02,240,Alaska,Southeast Fairbanks Census Area,7029,6893
50,4,9,02,261,Alaska,Valdez-Cordova Census Area,9636,9202
50,4,9,02,275,Alaska,Wrangell City and Borough,2369,2502
50,4,9,02,282,Alaska,Yakutat City and Borough,662,579
50,4,9,02,290,Alaska,Yukon-Koyukuk Census Area,5588,5230
40,4,8,04,000,Arizona,Arizona,6392017,7278717
50,4,8,04,001,Arizona,Apache County,71518,71887
50,4,8,04,003,Arizona,Cochise County,131346,125922
50,4,8,04,005,Arizona,Coconino County,134421,143476
50,4,8,04,007,Arizona,Gila County,53597,54018
50,4,8,04,009,Arizona,Graham County,37220,38837
50,4,8,04,011,Arizona,Greenlee County,8437,9498
